"1";"Key Area 1 (Planetary aurorae, planetary radio emissions, planetary space weather)"
"2";"Key Area 2 (Small solar system objects: Astrometry, spectroscopy, stellar occultations, meteoroid impact effects)"
"3";"Key Area 3 (Airless bodies in the solar system: Moon, Mercury, Galilean satellites)"
"4";"Atmospheric Physics"
"5";"Supernovae / Novae"
"6";"Galaxies"
"7";"Interstellar Medium"
"8";"Exoplanets"
"9";"Stellar Physics"
"10";"Large Scale Structures"
"11";"Solar Physics"
"12";"Geodesy"
"13";"Cosmology"
"14";"Stellar Occultations"
"15";"Public Outreach / Education etc."
"16";"Particle Physics"
"17";"Black Holes"
"18";"Astrobiology"
"19";"Astrochemistry"
"20";"Neutron Stars / Pulsars etc."
"21";"Orbital Mechanics"
"22";"Interplanetary Medium"
"23";"Magnetospheric Physics"
"24";"Variable Stars"
"25";"Climate Studies"
"26";"Instability phenomena in the universe"
"27";"Radio Astronomy"
"28";"Sky Observation"
"29";"Meteorology"
"30";"NEOs"
"31";"Optical Astronomy"
"32";"Infrared Astronomy"
"33";"Cosmic Microwave Background"
"34";"Solar System"
"35";"Space Plasma Physics"
"36";"Sun-Earth Interaction"
"37";"Space Weather"
"38";"Solar Wind Interaction"
"39";"Earth's Magnetic Environment"
"40";"Gamma-ray emission"
"41";"Energetic Radiation"
"42";"Iron Quasar"
"43";"Determination of Hubble Constant"
"44";"Sunyaev-Zel'dovich effect"
"45";"Big Bang"
"46";"Expansion of Universe"
"47";"Beginning of Universe"
"48";"Exotic Matter"
"49";"X-rays"
"50";"Observations of GRB"
"51";"Hubble Deep Fields"
"52";"Quasars"
"53";"Gamma-ray bursts"
"54";"Creation of Stars"
"55";"Comets"
"56";"Planets"
"57";"Satellites"
"58";"Creation of Chemical Elements"
"59";"X-ray emitting temperatures"
"60";"Composition of Satellites"
"61";"Electromagnetic Radiation"
"62";"Lunar Geology"
"63";"Geochemistry"
"64";"Investigation of magnetic activity of the Sun - including its generation, energy transfer and release of the magnetic energy."
"65";"Stellar Interiors"
"66";"Dark Matter"
"67";"Instrument Design"
"68";"Atmospheric Observations"
"69";"Radar Imaging"
"70";"Military Defence"
